pool,Fee Tier,Start Date,Expiry Date,Duration(Day),Yield Source,Base Asset,Underlying Issuer,chain,AverageIY,Average Daily LP TVL,Total Swap Fee,Total Swap Fee (im+ex),Average Daily Swap Fee,Average Daily Swap Fee (im + ex),Average TV,EfficientRatio,EfficientRatioB
stETH 25DEC2025,0.0005,2023-04-05,2025-12-25,995,1-Staking,ETH,Lido,1,0.03629861,25718653.84,60888.89148,337500.6509,115.3198702,639.2057782,118999.1028,0.00907163,0.004626957
Zircuit Staking ezETH 27JUN2024,0.001,2024-03-12,2024-06-27,107,2-Restaking,ETH,Renzo,1,0.331625974,25655900.35,226964.6201,1102091.139,2161.56781,10496.10608,13114601.46,0.149325444,0.511172919
Ethena USDe 25JUL2024,0.01,2024-04-02,2024-07-25,114,6-Stablecoins,Stable,Ethena,1,0.364314282,24853166.41,1897019.024,2471809.239,16640.51776,21682.53719,7460368.95,0.318435323,0.300177805
ether.fi eBTC 26DEC2024,0.002,2024-08-27,2024-12-26,121,2-Restaking,BTC,Ether.fi,1,0.062212237,24818626.35,87304.04245,120753.1678,727.5336871,1006.276399,2575885.441,0.014799001,0.103788397
Super Symbiotic LRT 26DEC2024,0.001,2024-08-13,2024-12-26,135,2-Restaking,ETH,Ether.fi,1,0.057642476,23647023.26,12751.17792,19203.12942,95.8735182,144.3844317,487576.653,0.002228624,0.020618944
Kelp Gain 26DEC2024,0.001,2024-08-19,2024-12-26,129,5-Derivative,Other,Gains,1,0.072082843,23586345.06,17165.45375,46251.94475,136.2337599,367.0789266,643781.6534,0.005680567,0.027294676
USD0++ 30JAN2025,0.002,2024-11-18,2025-01-30,73,7-RWA,Stable,Usual,1,0.213852909,23562380.68,274557.774,301930.8326,3922.253914,4313.297608,9822110.838,0.066816407,0.416855621
Puffer ETH 26SEP2024,0.003,2024-05-20,2024-09-26,129,2-Restaking,ETH,Puffer Finance,1,0.121533996,19195844.78,103595.392,145989.6604,822.1856507,1158.648098,2096802.372,0.022031151,0.109232097
SolvBTC Bera Vault 10APR2025,0.002,2025-01-24,2025-04-10,76,1-Staking,BTC,SolvProtocol,1,0.13638828,18335437.64,5469.082233,5565.98345,390.6487309,397.5702464,621921.0992,0.007914354,0.033919076
weETH 25APR2024,0.001,2024-02-06,2024-04-25,79,2-Restaking,ETH,Ether.fi,42161,0.437112565,18116813.41,227377.0674,471268.6631,2915.090607,6041.905938,29453373.29,0.121726466,1.625748007
Ethena sUSDE 24OCT2024,0.001,2024-07-17,2024-10-24,99,6-Stablecoins,Stable,Ethena,1,0.130781128,17845832.06,54925.64187,85494.68386,554.8044633,863.5826653,4827301.782,0.017662817,0.270500236
